Timestep,ResponderID,X,Y,Active,RescuedCount
69,6,14,24,True,0
69,7,27,24,True,0
70,6,14,24,True,0
70,7,27,24,True,0
71,6,14,24,True,0
71,7,27,24,True,0
72,6,14,24,True,0
72,7,27,24,True,0
73,6,14,24,True,0
73,7,27,24,True,0
74,6,14,24,True,0
74,7,27,24,True,0
75,6,14,24,True,0
75,7,27,24,True,0
76,6,14,24,True,0
76,7,27,24,True,0
77,6,14,24,True,0
77,7,27,24,True,0
78,6,14,24,True,0
78,7,27,24,True,0
79,6,14,24,True,0
79,7,27,24,True,0
80,6,14,24,True,0
80,7,27,24,True,0
81,6,14,24,True,0
81,7,27,24,True,0
82,6,14,24,True,0
82,7,27,24,True,0
83,6,14,24,True,0
83,7,27,24,True,0
84,6,14,24,True,0
84,7,27,24,True,0
85,6,14,24,True,0
85,7,27,24,True,0
86,6,14,24,True,0
86,7,27,24,True,0
87,6,14,24,True,0
87,7,27,24,True,0
88,6,14,24,True,0
88,7,27,24,True,0
89,6,14,24,True,0
89,7,27,24,True,0
90,6,14,24,True,0
90,7,27,24,True,0
91,6,14,24,True,0
91,7,27,24,True,0
92,6,14,24,True,0
92,7,27,24,True,0
93,6,14,24,True,0
93,7,27,24,True,0
94,6,14,24,True,0
94,7,27,24,True,0
95,6,14,24,True,0
95,7,27,24,True,0
96,6,14,24,True,0
96,7,27,24,True,0
97,6,14,24,True,0
97,7,27,24,True,0
98,6,14,24,True,0
98,7,27,24,True,0
99,6,14,24,True,0
99,7,27,24,True,0
100,6,14,24,True,0
100,7,27,24,True,0
101,6,14,24,True,0
101,7,27,24,True,0
102,6,14,24,True,0
102,7,27,24,True,0
103,6,14,24,True,0
103,7,27,24,True,0
104,6,14,24,True,0
104,7,27,24,True,0
105,6,14,24,True,0
105,7,27,24,True,0
106,6,14,24,True,0
106,7,27,24,True,0
107,6,14,24,True,0
107,7,27,24,True,0
108,6,14,24,True,0
108,7,27,24,True,0
109,6,14,24,True,0
109,7,27,24,True,0
110,6,14,24,True,0
110,7,27,24,True,0
111,6,14,24,True,0
111,7,27,24,True,0
112,6,14,24,True,0
112,7,27,24,True,0
113,6,14,24,True,0
113,7,27,24,True,0
114,6,14,24,True,0
114,7,27,24,True,0
115,6,14,24,True,0
115,7,27,24,True,0
116,6,14,24,True,0
116,7,27,24,True,0
117,6,14,24,True,0
117,7,27,24,True,0
118,6,14,24,True,0
118,7,27,24,True,0
119,6,14,24,True,0
119,7,27,24,True,0
120,6,14,24,True,0
120,7,27,24,True,0
121,6,14,24,True,0
121,7,27,24,True,0
122,6,14,24,True,0
122,7,27,24,True,0
123,6,14,24,True,0
123,7,27,24,True,0
124,6,14,24,True,0
124,7,27,24,True,0
125,6,14,24,True,0
125,7,27,24,True,0
126,6,14,24,True,0
126,7,27,24,True,0
127,6,14,24,True,0
127,7,27,24,True,0
128,6,14,24,True,0
128,7,27,24,True,0
129,6,14,24,True,0
129,7,27,24,True,0
130,6,14,24,True,0
130,7,27,24,True,0
131,6,14,24,True,0
131,7,27,24,True,0
132,6,14,24,True,0
132,7,27,24,True,0
133,6,14,24,True,0
133,7,27,24,True,0
134,6,14,24,True,0
134,7,27,24,True,0
135,6,14,24,True,0
135,7,27,24,True,0
136,6,14,24,True,0
136,7,27,24,True,0
137,6,14,24,True,0
137,7,27,24,True,0
138,6,14,24,True,0
138,7,27,24,True,0
139,6,14,24,True,0
139,7,27,24,True,0
140,6,14,24,True,0
140,7,27,24,True,0
141,6,14,24,True,0
141,7,27,24,True,0
142,6,14,24,True,0
142,7,27,24,True,0
143,6,14,24,True,0
143,7,27,24,True,0
144,6,14,24,True,0
144,7,27,24,True,0
145,6,14,24,True,0
145,7,27,24,True,0
146,6,14,24,True,0
146,7,27,24,True,0
147,6,14,24,True,0
147,7,27,24,True,0
148,6,14,24,True,0
148,7,27,24,True,0
149,6,14,24,True,0
149,7,27,24,True,0
150,6,14,24,True,0
150,7,27,24,True,0
151,6,14,24,True,0
151,7,27,24,True,0
152,6,14,24,True,0
152,7,27,24,True,0
153,6,14,24,True,0
153,7,27,24,True,0
154,6,14,24,True,0
154,7,27,24,True,0
155,6,14,24,True,0
155,7,27,24,True,0
156,6,14,24,True,0
156,7,27,24,True,0
157,6,14,24,True,0
157,7,27,24,True,0
158,6,14,24,True,0
158,7,27,24,True,0
159,6,14,24,True,0
159,7,27,24,True,0
160,6,14,24,True,0
160,7,27,24,True,0
161,6,14,24,True,0
161,7,27,24,True,0
162,6,14,24,True,0
162,7,27,24,True,0
163,6,14,24,True,0
163,7,27,24,True,0
164,6,14,24,True,0
164,7,27,24,True,0
165,6,14,24,True,0
165,7,27,24,True,0
166,6,14,24,True,0
166,7,27,24,True,0
167,6,14,24,True,0
167,7,27,24,True,0
168,6,14,24,True,0
168,7,27,24,True,0
169,6,14,24,True,0
169,7,27,24,True,0
170,6,14,24,True,0
170,7,27,24,True,0
171,6,14,24,True,0
171,7,27,24,True,0
172,6,14,24,True,0
172,7,27,24,True,0
173,6,14,24,True,0
173,7,27,24,True,0
174,6,14,24,True,0
174,7,27,24,True,0
175,6,14,24,True,0
175,7,27,24,True,0
176,6,14,24,True,0
176,7,27,24,True,0
177,6,14,24,True,0
177,7,27,24,True,0
178,6,14,24,True,0
178,7,27,24,True,0
179,6,14,24,True,0
179,7,27,24,True,0
180,6,14,24,True,0
180,7,27,24,True,0
181,6,14,24,True,0
181,7,27,24,True,0
182,6,14,24,True,0
182,7,27,24,True,0
183,6,14,24,True,0
183,7,27,24,True,0
184,6,14,24,True,0
184,7,27,24,True,0
185,6,14,24,True,0
185,7,27,24,True,0
186,6,14,24,True,0
186,7,27,24,True,0
187,6,14,24,True,0
187,7,27,24,True,0
188,6,14,24,True,0
188,7,27,24,True,0
189,6,14,24,True,0
189,7,27,24,True,0
190,6,14,24,True,0
190,7,27,24,True,0
191,6,14,24,True,0
191,7,27,24,True,0
192,6,14,24,True,0
192,7,27,24,True,0
193,6,14,24,True,0
193,7,27,24,True,0
194,6,14,24,True,0
194,7,27,24,True,0
195,6,14,24,True,0
195,7,27,24,True,0
196,6,14,24,True,0
196,7,27,24,True,0
197,6,14,24,True,0
197,7,27,24,True,0
198,6,14,24,True,0
198,7,27,24,True,0
199,6,14,24,True,0
199,7,27,24,True,0
200,6,14,24,True,0
200,7,27,24,True,0
201,6,14,24,True,0
201,7,27,24,True,0
202,6,14,24,True,0
202,7,27,24,True,0
203,6,14,24,True,0
203,7,27,24,True,0
204,6,14,24,True,0
204,7,27,24,True,0
205,6,14,24,True,0
205,7,27,24,True,0
206,6,14,24,True,0
206,7,27,24,True,0
207,6,14,24,True,0
207,7,27,24,True,0
208,6,14,24,True,0
208,7,27,24,True,0
209,6,14,24,True,0
209,7,27,24,True,0
210,6,14,24,True,0
210,7,27,24,True,0
211,6,14,24,True,0
211,7,27,24,True,0
212,6,14,24,True,0
212,7,27,24,True,0
213,6,14,24,True,0
213,7,27,24,True,0
214,6,14,24,True,0
214,7,27,24,True,0
215,6,14,24,True,0
215,7,27,24,True,0
216,6,14,24,True,0
216,7,27,24,True,0
217,6,14,24,True,0
217,7,27,24,True,0
218,6,14,24,True,0
218,7,27,24,True,0
219,6,14,24,True,0
219,7,27,24,True,0
220,6,14,24,True,0
220,7,27,24,True,0
221,6,14,24,True,0
221,7,27,24,True,0
222,6,14,24,True,0
222,7,27,24,True,0
223,6,14,24,True,0
223,7,27,24,True,0
224,6,14,24,True,0
224,7,27,24,True,0
225,6,14,24,True,0
225,7,27,24,True,0
226,6,14,24,True,0
226,7,27,24,True,0
227,6,14,24,True,0
227,7,27,24,True,0
228,6,14,24,True,0
228,7,27,24,True,0
229,6,14,24,True,0
229,7,27,24,True,0
230,6,14,24,True,0
230,7,27,24,True,0
231,6,14,24,True,0
231,7,27,24,True,0
232,6,14,24,True,0
232,7,27,24,True,0
233,6,14,24,True,0
233,7,27,24,True,0
234,6,14,24,True,0
234,7,27,24,True,0
235,6,14,24,True,0
235,7,27,24,True,0
236,6,14,24,True,0
236,7,27,24,True,0
237,6,14,24,True,0
237,7,27,24,True,0
238,6,14,24,True,0
238,7,27,24,True,0
239,6,14,24,True,0
239,7,27,24,True,0
240,6,14,24,True,0
240,7,27,24,True,0
241,6,14,24,True,0
241,7,27,24,True,0
242,6,14,24,True,0
242,7,27,24,True,0
243,6,14,24,True,0
243,7,27,24,True,0
244,6,14,24,True,0
244,7,27,24,True,0
245,6,14,24,True,0
245,7,27,24,True,0
246,6,14,24,True,0
246,7,27,24,True,0
247,6,14,24,True,0
247,7,27,24,True,0
248,6,14,24,True,0
248,7,27,24,True,0
249,6,14,24,True,0
249,7,27,24,True,0
250,6,14,24,True,0
250,7,27,24,True,0
251,6,14,24,True,0
251,7,27,24,True,0
252,6,14,24,True,0
252,7,27,24,True,0
253,6,14,24,True,0
253,7,27,24,True,0
254,6,14,24,True,0
254,7,27,24,True,0
255,6,14,24,True,0
255,7,27,24,True,0
256,6,14,24,True,0
256,7,27,24,True,0
257,6,14,24,True,0
257,7,27,24,True,0
258,6,14,24,True,0
258,7,27,24,True,0
259,6,14,24,True,0
259,7,27,24,True,0
260,6,14,24,True,0
260,7,27,24,True,0
261,6,14,24,True,0
261,7,27,24,True,0
262,6,14,24,True,0
262,7,27,24,True,0
263,6,14,24,True,0
263,7,27,24,True,0
264,6,14,24,True,0
264,7,27,24,True,0
265,6,14,24,True,0
265,7,27,24,True,0
266,6,14,24,True,0
266,7,27,24,True,0
267,6,14,24,True,0
267,7,27,24,True,0
268,6,14,24,True,0
268,7,27,24,True,0
269,6,14,24,True,0
269,7,27,24,True,0
270,6,14,24,True,0
270,7,27,24,True,0
271,6,14,24,True,0
271,7,27,24,True,0
272,6,14,24,True,0
272,7,27,24,True,0
273,6,14,24,True,0
273,7,27,24,True,0
274,6,14,24,True,0
274,7,27,24,True,0
275,6,14,24,True,0
275,7,27,24,True,0
276,6,14,24,True,0
276,7,27,24,True,0
277,6,14,24,True,0
277,7,27,24,True,0
278,6,14,24,True,0
278,7,27,24,True,0
279,6,14,24,True,0
279,7,27,24,True,0
280,6,14,24,True,0
280,7,27,24,True,0
281,6,14,24,True,0
281,7,27,24,True,0
282,6,14,24,True,0
282,7,27,24,True,0
283,6,14,24,True,0
283,7,27,24,True,0
284,6,14,24,True,0
284,7,27,24,True,0
285,6,14,24,True,0
285,7,27,24,True,0
286,6,14,24,True,0
286,7,27,24,True,0
287,6,14,24,True,0
287,7,27,24,True,0
288,6,14,24,True,0
288,7,27,24,True,0
289,6,14,24,True,0
289,7,27,24,True,0
290,6,14,24,True,0
290,7,27,24,True,0
291,6,14,24,True,0
291,7,27,24,True,0
292,6,14,24,True,0
292,7,27,24,True,0
293,6,14,24,True,0
293,7,27,24,True,0
294,6,14,24,True,0
294,7,27,24,True,0
295,6,14,24,True,0
295,7,27,24,True,0
296,6,14,24,True,0
296,7,27,24,True,0
297,6,14,24,True,0
297,7,27,24,True,0
298,6,14,24,True,0
298,7,27,24,True,0
299,6,14,24,True,0
299,7,27,24,True,0
300,6,14,24,True,0
300,7,27,24,True,0
301,6,14,24,True,0
301,7,27,24,True,0
302,6,14,24,True,0
302,7,27,24,True,0
303,6,14,24,True,0
303,7,27,24,True,0
304,6,14,24,True,0
304,7,27,24,True,0
305,6,14,24,True,0
305,7,27,24,True,0
306,6,14,24,True,0
306,7,27,24,True,0
307,6,14,24,True,0
307,7,27,24,True,0
308,6,14,24,True,0
308,7,27,24,True,0
309,6,14,24,True,0
309,7,27,24,True,0
310,6,14,24,True,0
310,7,27,24,True,0
311,6,14,24,True,0
311,7,27,24,True,0
312,6,14,24,True,0
312,7,27,24,True,0
313,6,14,24,True,0
313,7,27,24,True,0
314,6,14,24,True,0
314,7,27,24,True,0
315,6,14,24,True,0
315,7,27,24,True,0
316,6,14,24,True,0
316,7,27,24,True,0
317,6,14,24,True,0
317,7,27,24,True,0
318,6,14,24,True,0
318,7,27,24,True,0
319,6,14,24,True,0
319,7,27,24,True,0
320,6,14,24,True,0
320,7,27,24,True,0
321,6,14,24,True,0
321,7,27,24,True,0
322,6,14,24,True,0
322,7,27,24,True,0
323,6,14,24,True,0
323,7,27,24,True,0
324,6,14,24,True,0
324,7,27,24,True,0
325,6,14,24,True,0
325,7,27,24,True,0
326,6,14,24,True,0
326,7,27,24,True,0
327,6,14,24,True,0
327,7,27,24,True,0
328,6,14,24,True,0
328,7,27,24,True,0
329,6,14,24,True,0
329,7,27,24,True,0
330,6,14,24,True,0
330,7,27,24,True,0
331,6,14,24,True,0
331,7,27,24,True,0
332,6,14,24,True,0
332,7,27,24,True,0
333,6,14,24,True,0
333,7,27,24,True,0
334,6,14,24,True,0
334,7,27,24,True,0
335,6,14,24,True,0
335,7,27,24,True,0
336,6,14,24,True,0
336,7,27,24,True,0
337,6,14,24,True,0
337,7,27,24,True,0
338,6,14,24,True,0
338,7,27,24,True,0
