Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
29,4,27,31,True,False,False,False
29,5,42,31,True,False,False,False
30,0,5,25,False,True,True,False
30,1,27,19,True,False,False,False
30,2,44,25,False,True,True,False
30,3,12,31,True,False,False,False
30,4,27,31,True,False,False,False
30,5,42,31,True,False,False,False
31,0,5,25,False,True,True,False
31,1,27,19,True,False,False,False
31,2,44,25,False,True,True,False
31,3,12,31,True,False,False,False
31,4,27,31,True,False,False,False
31,5,42,31,True,False,False,False
32,0,5,25,False,True,True,False
32,1,27,19,True,False,False,False
32,2,44,25,False,True,True,False
32,3,12,31,True,False,False,False
32,4,27,31,True,False,False,False
32,5,42,31,True,False,False,False
33,0,5,25,False,True,True,False
33,1,27,19,True,False,False,False
33,2,44,25,False,True,True,False
33,3,12,31,True,False,False,False
33,4,27,31,True,False,False,False
33,5,42,31,True,False,False,False
34,0,5,25,False,True,True,False
34,1,27,19,True,False,False,False
34,2,44,25,False,True,True,False
34,3,12,31,True,False,False,False
34,4,27,31,True,False,False,False
34,5,42,31,True,False,False,False
35,0,5,25,False,True,True,False
35,1,27,19,True,False,False,False
35,2,44,25,False,True,True,False
35,3,12,31,True,False,False,False
35,4,27,31,True,False,False,False
35,5,42,31,True,False,False,False
36,0,5,25,False,True,True,False
36,1,27,19,True,False,False,False
36,2,44,25,False,True,True,False
36,3,12,31,True,False,False,False
36,4,27,31,True,False,False,False
36,5,42,31,True,False,False,False
37,0,5,25,False,True,True,False
37,1,27,19,True,False,False,False
37,2,44,25,False,True,True,False
37,3,12,31,True,False,False,False
37,4,27,31,True,False,False,False
37,5,42,31,True,False,False,False
38,0,5,25,False,True,True,False
38,1,27,19,True,False,False,False
38,2,44,25,False,True,True,False
38,3,12,31,True,False,False,False
38,4,27,31,True,False,False,False
38,5,42,31,True,False,False,False
39,0,5,25,False,True,True,False
39,1,27,19,True,False,False,False
39,2,44,25,False,True,True,False
39,3,12,31,True,False,False,False
39,4,27,31,True,False,False,False
39,5,42,31,True,False,False,False
40,0,5,25,False,True,True,False
40,1,27,19,True,False,False,False
40,2,44,25,False,True,True,False
40,3,12,31,True,False,False,False
40,4,27,31,True,False,False,False
40,5,42,31,True,False,False,False
41,0,5,25,False,True,True,False
41,1,27,19,True,False,False,False
41,2,44,25,False,True,True,False
41,3,12,31,True,False,False,False
41,4,27,31,True,False,False,False
41,5,42,31,True,False,False,False
42,0,5,25,False,True,True,False
42,1,27,19,True,False,False,False
42,2,44,25,False,True,True,False
42,3,12,31,True,False,False,False
42,4,27,31,True,False,False,False
42,5,42,31,True,False,False,False
43,0,5,25,False,True,True,False
43,1,27,19,True,False,False,False
43,2,44,25,False,True,True,False
43,3,12,31,True,False,False,False
43,4,27,31,True,False,False,False
43,5,42,31,True,False,False,False
44,0,5,25,False,True,True,False
44,1,27,19,True,False,False,False
44,2,44,25,False,True,True,False
44,3,12,31,True,False,False,False
44,4,27,31,True,False,False,False
44,5,42,31,True,False,False,False
45,0,5,25,False,True,True,False
45,1,27,19,True,False,False,False
45,2,44,25,False,True,True,False
45,3,12,31,True,False,False,False
45,4,27,31,True,False,False,False
45,5,42,31,True,False,False,False
46,0,5,25,False,True,True,False
46,1,27,19,True,False,False,False
46,2,44,25,False,True,True,False
46,3,12,31,True,False,False,False
46,4,27,31,True,False,False,False
46,5,42,31,True,False,False,False
47,0,5,25,False,True,True,False
47,1,27,19,True,False,False,False
47,2,44,25,False,True,True,False
47,3,12,31,True,False,False,False
47,4,27,31,True,False,False,False
47,5,42,31,True,False,False,False
48,0,5,25,False,True,True,False
48,1,27,19,True,False,False,False
48,2,44,25,False,True,True,False
48,3,12,31,True,False,False,False
48,4,27,31,True,False,False,False
48,5,42,31,True,False,False,False
49,0,5,25,False,True,True,False
49,1,27,19,True,False,False,False
49,2,44,25,False,True,True,False
49,3,12,31,True,False,False,False
49,4,27,31,True,False,False,False
49,5,42,31,True,False,False,False
50,0,5,25,False,True,True,False
50,1,27,19,True,False,False,False
50,2,44,25,False,True,True,False
50,3,12,31,True,False,False,False
50,4,27,31,True,False,False,False
50,5,42,31,True,False,False,False
51,0,5,25,False,True,True,False
51,1,27,19,True,False,False,False
51,2,44,25,False,True,True,False
51,3,12,31,True,False,False,False
51,4,27,31,True,False,False,False
51,5,42,31,True,False,False,False
52,0,5,25,False,True,True,False
52,1,27,19,True,False,False,False
52,2,44,25,False,True,True,False
52,3,12,31,True,False,False,False
52,4,27,31,True,False,False,False
52,5,42,31,True,False,False,False
53,0,5,25,False,True,True,False
53,1,27,19,True,False,False,False
53,2,44,25,False,True,True,False
53,3,12,31,True,False,False,False
53,4,27,31,True,False,False,False
53,5,42,31,True,False,False,False
54,0,5,25,False,True,True,False
54,1,27,19,True,False,False,False
54,2,44,25,False,True,True,False
54,3,12,31,True,False,False,False
54,4,27,31,True,False,False,False
54,5,42,31,True,False,False,False
55,0,5,25,False,True,True,False
55,1,27,19,True,False,False,False
55,2,44,25,False,True,True,False
55,3,12,31,True,False,False,False
55,4,27,31,True,False,False,False
55,5,42,31,True,False,False,False
56,0,5,25,False,True,True,False
56,1,27,19,True,False,False,False
56,2,44,25,False,True,True,False
56,3,12,31,True,False,False,False
56,4,27,31,True,False,False,False
56,5,42,31,True,False,False,False
57,0,5,25,False,True,True,False
57,1,27,19,True,False,False,False
57,2,44,25,False,True,True,False
57,3,12,31,True,False,False,False
57,4,27,31,True,False,False,False
57,5,42,31,True,False,False,False
58,0,5,25,False,True,True,False
58,1,27,19,True,False,False,False
58,2,44,25,False,True,True,False
58,3,12,31,True,False,False,False
58,4,27,31,True,False,False,False
58,5,42,31,True,False,False,False
59,0,5,25,False,True,True,False
59,1,27,19,True,False,False,False
59,2,44,25,False,True,True,False
59,3,12,31,True,False,False,False
59,4,27,31,True,False,False,False
59,5,42,31,True,False,False,False
60,0,5,25,False,True,True,False
60,1,27,19,True,False,False,False
60,2,44,25,False,True,True,False
60,3,12,31,True,False,False,False
60,4,27,31,True,False,False,False
60,5,42,31,True,False,False,False
61,0,5,25,False,True,True,False
61,1,27,19,True,False,False,False
61,2,44,25,False,True,True,False
61,3,12,31,True,False,False,False
61,4,27,31,True,False,False,False
61,5,42,31,True,False,False,False
62,0,5,25,False,True,True,False
62,1,27,19,True,False,False,False
62,2,44,25,False,True,True,False
62,3,12,31,True,False,False,False
62,4,27,31,True,False,False,False
62,5,42,31,True,False,False,False
63,0,5,25,False,True,True,False
63,1,27,19,True,False,False,False
63,2,44,25,False,True,True,False
63,3,12,31,True,False,False,False
63,4,27,31,True,False,False,False
63,5,42,31,True,False,False,False
64,0,5,25,False,True,True,False
64,1,27,19,True,False,False,False
64,2,44,25,False,True,True,False
64,3,12,31,True,False,False,False
64,4,27,31,True,False,False,False
64,5,42,31,True,False,False,False
65,0,5,25,False,True,True,False
65,1,27,19,True,False,False,False
65,2,44,25,False,True,True,False
65,3,12,31,True,False,False,False
65,4,27,31,True,False,False,False
65,5,42,31,True,False,False,False
66,0,5,25,False,True,True,False
66,1,27,19,True,False,False,False
66,2,44,25,False,True,True,False
66,3,12,31,True,False,False,False
66,4,27,31,True,False,False,False
66,5,42,31,True,False,False,False
67,0,5,25,False,True,True,False
67,1,27,19,True,False,False,False
67,2,44,25,False,True,True,False
67,3,12,31,True,False,False,False
67,4,27,31,True,False,False,False
67,5,42,31,True,False,False,False
68,0,5,25,False,True,True,False
68,1,27,19,True,False,False,False
68,2,44,25,False,True,True,False
68,3,12,31,True,False,False,False
68,4,27,31,True,False,False,False
68,5,42,31,True,False,False,False
69,0,5,25,False,True,True,False
69,1,27,19,True,False,False,False
69,2,44,25,False,True,True,False
69,3,12,31,True,False,False,False
69,4,27,31,True,False,False,False
69,5,42,31,True,False,False,False
70,0,5,25,False,True,True,False
70,1,27,19,True,False,False,False
70,2,44,25,False,True,True,False
70,3,12,31,True,False,False,False
70,4,27,31,True,False,False,False
70,5,42,31,True,False,False,False
71,0,5,25,False,True,True,False
71,1,27,19,True,False,False,False
71,2,44,25,False,True,True,False
71,3,12,31,True,False,False,False
71,4,27,31,True,False,False,False
71,5,42,31,True,False,False,False
72,0,5,25,False,True,True,False
72,1,27,19,True,False,False,False
72,2,44,25,False,True,True,False
72,3,12,31,True,False,False,False
72,4,27,31,True,False,False,False
72,5,42,31,True,False,False,False
73,0,5,25,False,True,True,False
73,1,27,19,True,False,False,False
73,2,44,25,False,True,True,False
73,3,12,31,True,False,False,False
73,4,27,31,True,False,False,False
73,5,42,31,True,False,False,False
74,0,5,25,False,True,True,False
74,1,27,19,True,False,False,False
74,2,44,25,False,True,True,False
74,3,12,31,True,False,False,False
74,4,27,31,True,False,False,False
74,5,42,31,True,False,False,False
75,0,5,25,False,True,True,False
75,1,27,19,True,False,False,False
75,2,44,25,False,True,True,False
75,3,12,31,True,False,False,False
75,4,27,31,True,False,False,False
75,5,42,31,True,False,False,False
76,0,5,25,False,True,True,False
76,1,27,19,True,False,False,False
76,2,44,25,False,True,True,False
76,3,12,31,True,False,False,False
76,4,27,31,True,False,False,False
76,5,42,31,True,False,False,False
77,0,5,25,False,True,True,False
77,1,27,19,True,False,False,False
77,2,44,25,False,True,True,False
77,3,12,31,True,False,False,False
77,4,27,31,True,False,False,False
77,5,42,31,True,False,False,False
78,0,5,25,False,True,True,False
78,1,27,19,True,False,False,False
78,2,44,25,False,True,True,False
78,3,12,31,True,False,False,False
78,4,27,31,True,False,False,False
78,5,42,31,True,False,False,False
79,0,5,25,False,True,True,False
79,1,27,19,True,False,False,False
79,2,44,25,False,True,True,False
79,3,12,31,True,False,False,False
79,4,27,31,True,False,False,False
79,5,42,31,True,False,False,False
80,0,5,25,False,True,True,False
80,1,27,19,True,False,False,False
80,2,44,25,False,True,True,False
80,3,12,31,True,False,False,False
80,4,27,31,True,False,False,False
80,5,42,31,True,False,False,False
81,0,5,25,False,True,True,False
81,1,27,19,True,False,False,False
81,2,44,25,False,True,True,False
81,3,12,31,True,False,False,False
81,4,27,31,True,False,False,False
81,5,42,31,True,False,False,False
82,0,5,25,False,True,True,False
82,1,27,19,True,False,False,False
82,2,44,25,False,True,True,False
82,3,12,31,True,False,False,False
82,4,27,31,True,False,False,False
82,5,42,31,True,False,False,False
83,0,5,25,False,True,True,False
83,1,27,19,True,False,False,False
83,2,44,25,False,True,True,False
83,3,12,31,True,False,False,False
83,4,27,31,True,False,False,False
83,5,42,31,True,False,False,False
84,0,5,25,False,True,True,False
84,1,27,19,True,False,False,False
84,2,44,25,False,True,True,False
84,3,12,31,True,False,False,False
84,4,27,31,True,False,False,False
84,5,42,31,True,False,False,False
85,0,5,25,False,True,True,False
85,1,27,19,True,False,False,False
85,2,44,25,False,True,True,False
85,3,12,31,True,False,False,False
85,4,27,31,True,False,False,False
85,5,42,31,True,False,False,False
86,0,5,25,False,True,True,False
86,1,27,19,True,False,False,False
86,2,44,25,False,True,True,False
86,3,12,31,True,False,False,False
86,4,27,31,True,False,False,False
86,5,42,31,True,False,False,False
87,0,5,25,False,True,True,False
87,1,27,19,True,False,False,False
87,2,44,25,False,True,True,False
87,3,12,31,True,False,False,False
87,4,27,31,True,False,False,False
87,5,42,31,True,False,False,False
88,0,5,25,False,True,True,False
88,1,27,19,True,False,False,False
88,2,44,25,False,True,True,False
88,3,12,31,True,False,False,False
88,4,27,31,True,False,False,False
88,5,42,31,True,False,False,False
89,0,5,25,False,True,True,False
89,1,27,19,True,False,False,False
89,2,44,25,False,True,True,False
89,3,12,31,True,False,False,False
89,4,27,31,True,False,False,False
89,5,42,31,True,False,False,False
90,0,5,25,False,True,True,False
90,1,27,19,True,False,False,False
90,2,44,25,False,True,True,False
90,3,12,31,True,False,False,False
90,4,27,31,True,False,False,False
90,5,42,31,True,False,False,False
91,0,5,25,False,True,True,False
91,1,27,19,True,False,False,False
91,2,44,25,False,True,True,False
91,3,12,31,True,False,False,False
91,4,27,31,True,False,False,False
91,5,42,31,True,False,False,False
92,0,5,25,False,True,True,False
92,1,27,19,True,False,False,False
92,2,44,25,False,True,True,False
92,3,12,31,True,False,False,False
92,4,27,31,True,False,False,False
92,5,42,31,True,False,False,False
93,0,5,25,False,True,True,False
93,1,27,19,True,False,False,False
93,2,44,25,False,True,True,False
93,3,12,31,True,False,False,False
93,4,27,31,True,False,False,False
93,5,42,31,True,False,False,False
94,0,5,25,False,True,True,False
94,1,27,19,True,False,False,False
94,2,44,25,False,True,True,False
94,3,12,31,True,False,False,False
94,4,27,31,True,False,False,False
94,5,42,31,True,False,False,False
95,0,5,25,False,True,True,False
95,1,27,19,True,False,False,False
95,2,44,25,False,True,True,False
95,3,12,31,True,False,False,False
95,4,27,31,True,False,False,False
95,5,42,31,True,False,False,False
96,0,5,25,False,True,True,False
96,1,27,19,True,False,False,False
96,2,44,25,False,True,True,False
96,3,12,31,True,False,False,False
96,4,27,31,True,False,False,False
96,5,42,31,True,False,False,False
97,0,5,25,False,True,True,False
97,1,27,19,True,False,False,False
97,2,44,25,False,True,True,False
97,3,12,31,True,False,False,False
97,4,27,31,True,False,False,False
97,5,42,31,True,False,False,False
98,0,5,25,False,True,True,False
98,1,27,19,True,False,False,False
98,2,44,25,False,True,True,False
98,3,12,31,True,False,False,False
98,4,27,31,True,False,False,False
98,5,42,31,True,False,False,False
99,0,5,25,False,True,True,False
99,1,27,19,True,False,False,False
99,2,44,25,False,True,True,False
99,3,12,31,True,False,False,False
99,4,27,31,True,False,False,False
99,5,42,31,True,False,False,False
100,0,5,25,False,True,True,False
100,1,27,19,True,False,False,False
100,2,44,25,False,True,True,False
100,3,12,31,True,False,False,False
100,4,27,31,True,False,False,False
100,5,42,31,True,False,False,False
101,0,5,25,False,True,True,False
101,1,27,19,True,False,False,False
101,2,44,25,False,True,True,False
101,3,12,31,True,False,False,False
101,4,27,31,True,False,False,False
101,5,42,31,True,False,False,False
102,0,5,25,False,True,True,False
102,1,27,19,True,False,False,False
102,2,44,25,False,True,True,False
102,3,12,31,True,False,False,False
102,4,27,31,True,False,False,False
102,5,42,31,True,False,False,False
103,0,5,25,False,True,True,False
103,1,27,19,True,False,False,False
103,2,44,25,False,True,True,False
103,3,12,31,True,False,False,False
103,4,27,31,True,False,False,False
103,5,42,31,True,False,False,False
104,0,5,25,False,True,True,False
104,1,27,19,True,False,False,False
104,2,44,25,False,True,True,False
104,3,12,31,True,False,False,False
104,4,27,31,True,False,False,False
104,5,42,31,True,False,False,False
105,0,5,25,False,True,True,False
105,1,27,19,True,False,False,False
105,2,44,25,False,True,True,False
105,3,12,31,True,False,False,False
105,4,27,31,True,False,False,False
105,5,42,31,True,False,False,False
106,0,5,25,False,True,True,False
106,1,27,19,True,False,False,False
106,2,44,25,False,True,True,False
106,3,12,31,True,False,False,False
106,4,27,31,True,False,False,False
106,5,42,31,True,False,False,False
107,0,5,25,False,True,True,False
107,1,27,19,True,False,False,False
107,2,44,25,False,True,True,False
107,3,12,31,True,False,False,False
107,4,27,31,True,False,False,False
107,5,42,31,True,False,False,False
108,0,5,25,False,True,True,False
108,1,27,19,True,False,False,False
108,2,44,25,False,True,True,False
108,3,12,31,True,False,False,False
108,4,27,31,True,False,False,False
108,5,42,31,True,False,False,False
109,0,5,25,False,True,True,False
109,1,27,19,True,False,False,False
109,2,44,25,False,True,True,False
109,3,12,31,True,False,False,False
109,4,27,31,True,False,False,False
109,5,42,31,True,False,False,False
110,0,5,25,False,True,True,False
110,1,27,19,True,False,False,False
110,2,44,25,False,True,True,False
110,3,12,31,True,False,False,False
110,4,27,31,True,False,False,False
110,5,42,31,True,False,False,False
111,0,5,25,False,True,True,False
111,1,27,19,True,False,False,False
111,2,44,25,False,True,True,False
111,3,12,31,True,False,False,False
111,4,27,31,True,False,False,False
111,5,42,31,True,False,False,False
112,0,5,25,False,True,True,False
112,1,27,19,True,False,False,False
112,2,44,25,False,True,True,False
112,3,12,31,True,False,False,False
112,4,27,31,True,False,False,False
112,5,42,31,True,False,False,False
113,0,5,25,False,True,True,False
113,1,27,19,True,False,False,False
113,2,44,25,False,True,True,False
113,3,12,31,True,False,False,False
113,4,27,31,True,False,False,False
113,5,42,31,True,False,False,False
114,0,5,25,False,True,True,False
114,1,27,19,True,False,False,False
114,2,44,25,False,True,True,False
114,3,12,31,True,False,False,False
114,4,27,31,True,False,False,False
114,5,42,31,True,False,False,False
115,0,5,25,False,True,True,False
115,1,27,19,True,False,False,False
115,2,44,25,False,True,True,False
115,3,12,31,True,False,False,False
115,4,27,31,True,False,False,False
115,5,42,31,True,False,False,False
116,0,5,25,False,True,True,False
